"RecordId","OnePerId","OnePerFlag","OrgFlag","GroupFlag","EBDFFlag","MasterRecordId"
"0000397241","0000397241","TRUE","","","TRUE","MR02541645"
"0000397272","0000397272","TRUE","","","TRUE","N0000O8D4R"
"0000397274","0000397274","TRUE","","","TRUE","MA05269221"
"0000397300","0000397300","TRUE","","","TRUE","MA05084526"
"0000397322","0000397322","TRUE","","","TRUE","MA05302711"
"0000397326","0000397326","TRUE","","","TRUE","MA04490776"
"0000397407","0000397407","TRUE","","","TRUE","MA05039591"
"0000397420","0000397420","TRUE","","","TRUE","MA04624118"
"0000397432","0000397432","TRUE","","","TRUE","MA04065448"
"0000397440","0000397440","TRUE","","","TRUE","MF14215569"
"0000397451","0000397451","TRUE","","","TRUE","MA04101550"
"0000397461","0000397461","TRUE","","","TRUE","MA04485229"
"0000397474","0000397474","TRUE","","","TRUE","N00018JVTZ"
"0000397487","0000397487","TRUE","","","TRUE","MA05252179"
"0000397525","0000397525","TRUE","","","","MA04892869"
"0000397533","0000397533","TRUE","","","TRUE","MA04297259"
"0000397544","0000397544","TRUE","","","TRUE","MA04891493"
"0000397547","0000397547","TRUE","","","TRUE","MA04071259"
"0000397553","0000397553","TRUE","","","TRUE","MA04891299"
"0000397559","0000397559","TRUE","","","TRUE","MA04550719"
"0000397560","0000397560","TRUE","","","TRUE","MA04891260"
"0000397570","0000397570","TRUE","","","TRUE","MA04376445"
"0000397593","0000397593","TRUE","","","TRUE","MA04501969"
"0000397599","0000397599","TRUE","","","TRUE","MA04892885"
"0000397611","0000397611","TRUE","","","TRUE","MA04984488"
"0000397613","0000397613","TRUE","","","TRUE","MA04369650"
"0000397626","0000397626","TRUE","","","TRUE","MA04218445"
"0000397631","0000397631","TRUE","","","TRUE","MA04953425"
"0000397632","0000397632","TRUE","","","TRUE","MA04371938"
"0000397639","0000397639","TRUE","","","TRUE","MA04693434"
"0000397643","0000397643","TRUE","","","TRUE","MA04948253"
"0000397721","0000397721","TRUE","","","TRUE","MA05177654"
"0000397737","0000397737","TRUE","","","TRUE","MR08255612"
"0000397774","0000397774","TRUE","","","TRUE","MA04225379"
"0000397779","0000397779","TRUE","","","TRUE","MA04367594"
"0000397796","0000397796","TRUE","","","","MA04230478"
"0000397797","0000397797","TRUE","","","","MA05169940"
"0000397807","0000397807","TRUE","","","TRUE","MA04382179"
"0000397808","0000397808","TRUE","","","TRUE","MA05039594"
"0000397848","0000397848","TRUE","","","TRUE","MA04141665"
"0000397874","0000397874","TRUE","","","TRUE","MA04148053"
"0000397875","0000397875","TRUE","","","TRUE","MA04894528"
"0000397922","0000397922","TRUE","","","TRUE","MA04264090"
"0000397927","0000397927","TRUE","","","TRUE","MA04067900"
"0000397943","0000397943","TRUE","","","TRUE","MA04068387"
"0000397984","0000397984","TRUE","","","TRUE","MA05023742"
"0000397987","0000397987","TRUE","","","TRUE","MA04481969"
"0000398017","0000398017","TRUE","","","TRUE","N0000Q7T4R"
"0000398039","0000398039","TRUE","","","TRUE","MA04227229"
"0000398046","0000398046","TRUE","","","TRUE","MA04503320"
"0000398057","0000398057","TRUE","","","TRUE","MA04066825"
"0000398071","0000398071","TRUE","","","TRUE","MA04504477"
"0000398087","0000398087","TRUE","","","TRUE","MA04503673"
"0000398090","0000398090","TRUE","","","TRUE","MA04291077"
"0000398108","0000398108","TRUE","","","TRUE","MR01851957"
"0000398116","0000398116","TRUE","","","","MA04187541"
"0000398141","0000398141","TRUE","","","TRUE","MA04073556"
"0000398154","0000398154","TRUE","","","TRUE","MA05083481"
"0000398180","0000398180","TRUE","","","TRUE","MA04500628"
"0000398190","0000398190","TRUE","","","TRUE","MA04140280"
"0000398203","0000398203","TRUE","","","TRUE","MA04228588"
"0000398218","0000398218","TRUE","","","TRUE","MA04892118"
"0000398249","0000398249","TRUE","","","TRUE","MA04795069"
"0000398266","0000398266","TRUE","","","TRUE","MA04406892"
"0000398286","0000398286","TRUE","","","TRUE","MA04225272"
"0000398289","0000398289","TRUE","","","TRUE","MA04143612"
"0000398296","0000398296","TRUE","","","TRUE","MA04497903"
"0000398349","0000398349","TRUE","","","TRUE","MA04140867"
"0000398353","0000398353","TRUE","","","TRUE","MA05269465"
"0000398354","0000398354","TRUE","","","TRUE","MA04891758"
"0000398362","0000398362","TRUE","","","","MA04590814"
"0000398366","0000398366","TRUE","","","TRUE","MF13143344"
"0000398367","0000398367","TRUE","","","TRUE","MA05246706"
"0000398376","0000398376","TRUE","","","TRUE","MA04881101"
"0000398377","0000398377","TRUE","","","TRUE","MA04097610"
"0000398394","0000398394","TRUE","","","TRUE","MA04227219"
"0000398420","0000398420","TRUE","","","TRUE","MA05212712"
"0000398450","0000398450","TRUE","","","TRUE","MA05022519"
"0000398461","0000398461","TRUE","","","TRUE","MA04891034"
"0000398469","0000398469","TRUE","","","TRUE","MA04500313"
"0000398491","0000398491","TRUE","","","TRUE","MA04071296"
"0000398492","0000398492","TRUE","","","TRUE","MA04955891"
"0000398512","0000398512","TRUE","","","","MA04369000"
"0000398518","0000398518","TRUE","","","TRUE","MA04225669"
"0000398519","0000398519","TRUE","","","","MF02369280"
"0000398527","0000398527","TRUE","","","TRUE","MA05299546"
"0000398555","0000398555","TRUE","","","TRUE","MA04482981"
